;id;Affiliation;Post;birthyear;takeover;tenure in years;party affiliation;gender;aff2;origin_province;a48;a47;a46;a45;a44;a43;a42;a41;a40;a39;a38;a37;a36;a35;a34;a33;a32;a31;a30;a29;a28;a27;a26;a25;a24;a23;a22;a21;a20;a19;a18;a17;a16;a15;a14;a13;a12;a11;a10;a9;a8;a7;a6;a5;a4;a3;a2;a1;a0
Naceur El Gharbi;25;Ben Ali;Ministre des Affaires sociales;1949;2010;1;RCD;m;Regime;Kairouan;;;;;;;;;uf;uf;uf;uf;uf;uf;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh;adh;adh;adh;rn;rn;rn;rn;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;adh;adh;adh;adh;adh;rh;rh
Ridha Chalghoum;26;Ben Ali;Ministre de la Finance;1962;2010;1;RCD;m;Regime;Gafsa;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;;;;;;;;;;;;;;;;;rn;rn;rn;rn;rn
Bebia Chihi;27;Ben Ali;Ministre des Affaires de la femme;1952;2010;1;RCD;f;Regime;Tunis;;;;;;;;;;;ut;ut;ut;ut;uf;uf;uf;uf;uf;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh;adh;adh;adh;adh;rh;rh;rh;rh;rh;rh;rh;rh
Mohamed Naceur;28;Ben Ali;Ministre des Technologies et de la Communication;1957;2010;1;RCD;m;Regime;Nabeul;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;adh;adh;adh;adh;adh;adh;adh;ad;ad;ad;ad;adh;adh;adh;adh
Zouheir M'dhaffer;29;Ben Ali;Ministre des Domaines de l'Etat et des Affaires foncières;1948;2010;1;RCD;m;Regime;Sfax;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;ju;ju;ju;ju;cadu;cadu;cadu;cadu;ju;ju;ju;ju;ju;ju
Taieb Hadhri;30;Ben Ali;Ministre de la Recherche scientifique et de la Technologie;1957;2005;2;RCD;m;Regime;Monastir;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Ali Chaouch;31;Ben Ali;Ministre de la sant_ publique;1948;1992;7;RCD;m;Regime;Siliana;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;cad;cad;cad;cad;cad;cad;cad;cad;cad;ad;ad;adh;adh;adh;adh;adh;rn;rn;adh;adh;adh;adh
Sadok Korbi;32;Ben Ali;Ministre de l'Enseingement sup_rieur;1956;2004;4;RCD;m;Regime;Monastir;;;;;;;;;;;;;;;;;;;;;;ue;ue;ue;ue;ue;ue;ue;ue;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;rn;rn;rn
Rafaa Dekhil;33;Ben Ali;Ministre des Affaires sociales;1953;2004;5;RCD;m;Regime;Bizerte;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;ut;ut;ut;rn;cad;rn;cad;cad;cad;cad;cad;cad;cad;cad;cad;rn;cad;cad;cad
Abdelwahad Abdallah;34;Ben Ali;Ministre de l'information;1940;1987;1;RCD;m;Regime;Monastir;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;ut;ut;ut;rn;rn;rn;rn;rn;rn;cad;cad;cad;cad;cad;cad;cad;cad
Samira Khayach Belhaj;35;Ben Ali;Ministre de l'Equipement;1953;2004;4;RCD;f;Regime;Tunis;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh;rn;rn;rn;rn;rn;rn
Abdelbaki Hermassi;36;Ben Ali;Ministre de la Culture;1937;1996;8;RCD;m;Regime;Kasserine;;;;;;;;;;;;;;uf;uf;uf;uf;ue;ue;ue;ue;ue;ue;ue;ue;ue;;;;;;;;;;cadu;cadu;cadu;cadu;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh
N_ziha Zarrouk;37;Ben Ali;Ministre de la femme et de la Famille;1946;1995;6;RCD;f;Regime;Monastir;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rn;rn;rn;rn;rn;rn;rn;rn;rn
Abdelkrim Zbidi;38;Ben Ali;Ministre de la Sant_ publique;1950;2001;1;RCD;m;Regime;Mahdia;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;u;u;u;u;u;u;u;u;u;u;u;ad;ad;cadu;cadu;cadu;cadu;adh;adh;adh;adh;adh;rh
Moncer Rouissi;39;Ben Ali;Ministre des Affaires sociales;1940;1989;14;RCD;m;Regime;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;p;rn;rn;rn
Abdallah Ka_bi;40;Ben Ali;Ministre de l'Int_rieur;1951;2001;1;RCD;m;Regime;Kairouan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn
Dali Jazi;41;Ben Ali;Ministre de la sant_ publique;1942;1989;3;RCD;m;Regime;Nabeul;;;;;;;;;;;;;;;;;;;;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;;;;;opp;opp;opp;pol;pol;pol;pol;pol;pol;pol;pol;pol;pol;pol;rn
Slaheddine Belaid;42;Ben Ali;Ministre de l'Equipement;1939;1997;7;RCD;m;Regime;Monastir;;;;;;;;;uf;uf;uf;uf;uf;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad;cad
Mohamed Raouf Najar;43;Ben Ali;Ministre de la Jeunesse des Sports et de l'Education;1947;1997;5;RCD;m;Regime;Gabès;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;p;cad;cad;cad
Moncef Ben Abdallah;44;Ben Ali;Ministre de l'Industrie;1946;1997;6;RCD;m;Regime;Tunis;;;;;;;;;;;;;;;;;ut;ut;ut;ut;uf;uf;uf;uf;ad;ad;ad;adh;adh;adh;rn;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh
Hacine Chouk;45;Ben Ali;Ministre des Transports;1946;1997;5;RCD;m;Regime;Tozeur;;;;;;;;;;;;;;;;;;ut;ut;ut;uf;uf;uf;uf;p;p;p;ad;ad;ad;ad;ad;ad;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;cad
Faiza Kefi;46;Ben Ali;Ministre de l'Environnement et de L'Amenagement du Territoire;1949;1999;5;RCD;f;Regime;Tunis;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;pol;pol;pol;pol;pol;pol
Slaheddine Cherif;47;Ben Ali;Secretaire g_n_rale du Pr_sident;1937;1999;;RCD;m;Regime;Tunis;;;;;;;;;;;;;ut;ut;ut;uf;uf;uf;uf;uf;rn;rn;rn;rn;ju;ju;ju;ju;ju;ju;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh;adh
Fethi Merdassi;48;Ben Ali;Ministre de la Coop_ration internationale;1945;1999;3;RCD;m;Regime;Jendouba;;;;;;;;;;;;;;;;ut;ut;ut;ut;;;;ad;ad;ad;uf;uf;uf;ad;ad;ad;ad;ad;ad;adh;cad;cad;cad;cad;cad;cad;cad;cad;adh;adh;adh;adh;adh;adh
Ahmed Fria_;49;Ben Ali;Ministre de l'Education;1949;1994;1;RCD;m;Regime;M_dine;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;uf;uf;uf;uf;u;u;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;rh;rh;rh;rh;rh;rh
Sadok Cha_bane;50;Ben Ali;Ministre de la Justice;1950;1992;5;RCD;m;Regime;Sfax;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;u;u;u;u;u;u;u;cadu;cadu;cadu;cadu;rn;rn;rh;rh
H_di M'henni;51;Ben Ali;Ministre de la Sant_ publique;1942;1992;9;RCD;m;Regime;Monastir;;;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;u;u;u;p;p;p;p;u;u;u;u;u;u;adh;adh;adh;adh;adh
Monce Rouissi;52;Ben Ali;Ministre des Affaires sociales;1940;1989;2;RCD;m;Regime;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;uf;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;rn;rn
Sadok Rabah;53;Ben Ali;Ministre de l'Energie et des Mines;1948;1989;1;RCD;m;Regime;Gabès;;;;;;;;;;;;;;;;;;;;;;;;;;;;uf;uf;uf;uf;uf;uf;uf;ut;ad;ad;ad;ad;ad;cad;cad;cad;adh;adh;adh;adh;adh;cad
Ch_dli Neffati;54;Ben Ali;Ministre de l'Int_rieur;1946;1988;2;RCD;m;Regime;Gabès;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;rn;rn;rn;adh;adh;adh;rh;rh
Jalloul Jeribi;55;Ben Ali;Ministre des Affaires religieuses;1950;1999;5;RCD;m;Regime;Sfax;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ad;ad;ad;ad;ad;ad;ad;ad;ad;ad;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu;cadu
Habib Ben Yahia;56;Ben Ali;Ministre des Affaires _trangères;1938;1991;6;RCD;m;Regime;Tunis;;;;;;;;;;;;;;;;ue;ue;ue;ue;ue;rn;rn;rn;rn;rn;rn;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh;rh
Mohamed Jegham;57;Ben Ali;Ministre de l'Int_rieur;1943;1995;2;RCD;m;Regime;Sousse;;;;;;;;;;;;;;;;;ut;ut;ut;ut;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;rn;cad;cad;cad;cad;rn;rn;rn;rn;rn;rn;rh;rh;rh;rh;rh;rh;rh
Abdallah Kallel;58;Ben Ali;Ministre de la D_fense;1943;1988;3;RCD;m;Regime;Sfax;;;;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ad;ad;ad;rn;rn;rn;rn;rn;rn;cad;cad;cad;cad;cad;cad;cad;rh;rh
Hamadi Jebali;59;Moncef Marzouki;Chef du gouvernement;1949;2011;1;Ennahdha;m;Demokratie;Sousse;;;;;;;;uf;uf;uf;uf;uf;uf;uf;uf;uf;ad;ad;ad;opp;opp;opp;opp;opp;opp;opp;gef;gef;opp;opp;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef
Ali Larayedh;61;Moncef Marzouki;Ministre de l'int_rieur;1955;2011;1;Ennahdha;m;Demokratie;Medine;;;;;;;;;;;;ut;ut;ut;ut;opp;opp;opp;opp;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;gef;opp;opp;opp;opp;opp;opp;opp
Rafik Abdessalem;62;Moncef Marzouki;Ministre des Affaires _trangères;1968;2011;1;Ennahdha;m;Demokratie;;;;;;;;;;;;;;;;;;;;;;;;;ut;ut;ut;ut;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;ue;opp;opp;opp;opp;opp;opp;opp;opp
Noureddine Chiri;63;Moncef Marzouki;Ministre de la Justice;1958;2011;1;Ennahdha;m;Demokratie;Sfax;;;;;;;;;;;;;;;;uf;uf;uf;uf;ju;ju;ju;ju;ju;opp;opp;opp;opp;opp;gef;p;p;p;p;ju;ju;ju;p;p;p;p;p;p;p;p;p;p;p;p
